EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0417998066835447,0.958200193316455,0.0418050031477064,0.958194996852294,0.0478193076926603,0.95218069230734,0.0480363285458586,0.951963671454141,0.0500082102616111,0.949991789738389,0.0498659443153105,0.950134055684689
15,0.0771722142965027,0.922827785703497,0.0770190290135369,0.922980970986463,0.0880335183308339,0.911966481669166,0.0878028369023214,0.912197163097679,0.0912111432050687,0.908788856794931,0.0910299198264095,0.90897008017359
25,0.0976553686412683,0.902344631358732,0.0976464158939086,0.902353584106091,0.111865546726696,0.888134453273304,0.110832267858368,0.889167732141632,0.115120876020098,0.884879123979902,0.115107217684549,0.884892782315451
35,0.11596666297323,0.88403333702677,0.116686644009509,0.883313355990491,0.132475174777271,0.867524825222729,0.132553487339811,0.867446512660189,0.136942478036044,0.863057521963956,0.136266084928327,0.863733915071673
45,0.143629643461112,0.856370356538888,0.142930665591267,0.857069334408733,0.162295479911005,0.837704520088995,0.162360260757656,0.837639739242344,0.167873758230617,0.832126241769383,0.167453709737433,0.832546290262567
55,0.170541750287658,0.829458249712342,0.170847372954958,0.829152627045042,0.192361235291593,0.807638764708407,0.194149664906446,0.805850335093554,0.198926641052248,0.801073358947752,0.198824307262595,0.801175692737405
65,0.193408837058802,0.806591162941198,0.192674121226861,0.807325878773139,0.215831489863153,0.784168510136847,0.216319545933903,0.783680454066097,0.22286850044225,0.77713149955775,0.222100013352248,0.777899986647753
75,0.234247763542629,0.765752236457371,0.234462933691446,0.765537066308554,0.261613952961475,0.738386047038525,0.261867763432582,0.738132236567418,0.268991317964123,0.731008682035877,0.269401943553613,0.730598056446387
85,0.30064857443005,0.69935142556995,0.298907589977512,0.701092410022488,0.330999517744976,0.669000482255024,0.329604175596724,0.670395824403276,0.338905209056313,0.661094790943687,0.338063391215283,0.661936608784716
95,0.414619928317608,0.585380071682392,0.414863115699598,0.585136884300402,0.449839590964627,0.550160409035373,0.450573363750746,0.549426636249254,0.45824267672051,0.54175732327949,0.459908061371282,0.540091938628718
