EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.59614038172208,1.17969624946232,5.16493213444729,1.11759538634704,4.2185766127838,1.11102589661465,4.81442730715004,1.04301500476412,4.04859327270349,1.06866476500723,4.70571803922832,0.997972412184778
15,5.04035370409184,1.13643039756505,5.66722498699181,1.08543022082044,4.73911974601205,1.08815692712756,5.46556456111256,1.0093968498178,4.64241158751601,1.07407838758958,5.38705089347326,0.987450121831116
25,5.31766290850346,1.1514492334708,5.98515053732195,1.08073108866413,5.03106001157632,1.09279451113326,5.8592127158904,0.989421779704778,4.98591383673218,1.05511676600443,5.80400308556569,0.949736117758607
35,5.58135762792603,1.13845978263732,6.25687523402396,1.04643381913991,5.38489245013625,1.05342466537217,6.20722678272131,0.95341467856257,5.31304698004808,1.06323455695899,6.21342666066532,0.919098603940093
45,5.94836652071093,1.13553356553807,6.71263476653823,1.07059195010261,5.85879950083608,1.07843714383288,6.77105789472201,0.97081881825913,5.82246217627916,1.08244907987178,6.78739523817687,0.926353610201093
55,6.40521163658728,1.11683878607006,7.21531246009499,1.05426263628958,6.38268600716021,1.09486703686418,7.35105412612491,0.947512287313065,6.36862188444128,1.07378798814408,7.43179122514389,0.900341098953652
65,6.72888109985605,1.12322244306019,7.62153708154778,1.0497931814335,6.83279695683551,1.09079792537736,7.91743958039321,0.969695040819529,6.85677965215491,1.08205440468219,8.02984448855942,0.916449036821045
75,7.49929052062514,1.13085672601638,8.46594734611499,1.10106116757222,7.75814802731749,1.12843000119262,8.97933930454995,1.01060596170066,7.83180296210841,1.11911839729776,9.12226744443193,0.966878641924321
85,8.81182768208835,1.18520394302543,10.0074824867026,1.28775114727902,9.38860231300573,1.20324474638077,10.8824020682413,1.2139079192814,9.57665093987347,1.24449712862333,11.1929501851525,1.15917281696072
95,11.9178896020121,1.47103054535245,13.493092692643,1.78246918171635,13.1493011026107,1.56990945286158,15.3362226594412,1.89479130210139,13.560374558507,1.67260563897823,15.8876322738133,1.78437922429987
