EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.67196876061971,1.19978659851601,5.22716033886412,1.13462098321427,4.47230815011437,1.14740655088446,5.02996605007869,1.08433656069818,4.28252291699404,1.09685882416317,4.90765809077462,1.03352372118963
15,5.09706934781262,1.15420478558887,5.70628451635587,1.10313801609966,4.92916055792933,1.12388435728043,5.60278676219201,1.0634645843363,4.81561255562504,1.10183067735811,5.51375607079599,1.03545671385324
25,5.36235698760001,1.1679984149132,6.0094100470429,1.09927869228087,5.18374272960936,1.12626423605892,5.94316243655832,1.04843041599556,5.1282595688057,1.08456036308603,5.88442798686459,1.00375456429137
35,5.61499034952253,1.15399962504116,6.26722951731289,1.06542713786577,5.49741376440209,1.08633159185281,6.24460011542553,1.01584327692225,5.41838757933928,1.09017280860574,6.25047323214682,0.975014028721655
45,5.96469377101517,1.14965812445597,6.7019216589377,1.09100490323006,5.91798251358381,1.1054836804977,6.73519724745841,1.03795079528794,5.87759624730386,1.10615717933927,6.7527221571899,0.988103883528189
55,6.40280654572843,1.1290387178734,7.18188960637449,1.07477265896056,6.383139506737,1.11497347216724,7.23354769872901,1.0156474891081,6.36777602731684,1.08911425389096,7.32337093821091,0.963053044875615
65,6.71063299909439,1.13269571607826,7.56900483413145,1.07019035830413,6.78019907967006,1.1073325645115,7.7362616581533,1.03956246385547,6.80867717148395,1.09451842985954,7.86127806028479,0.979479345515327
75,7.44850959675443,1.13631949596554,8.37311826197439,1.12312339054504,7.6023623835893,1.13090087439931,8.66102306399244,1.06907395683592,7.68553555441283,1.11863996688092,8.82241921053118,1.02021514436999
85,8.70208731194279,1.1845009681229,9.84412283157338,1.31087212014694,9.03939804172761,1.17873641931127,10.3162270146919,1.25407442376692,9.25593876538491,1.20950733003531,10.6590918735963,1.18465372782437
95,11.6744996008594,1.45372037874799,13.164987093611,1.80637353712584,12.3629704081356,1.46947190476034,14.2047294348909,1.85158153414002,12.8389591257968,1.55652337900929,14.8171865587839,1.71775466555667
