EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.56913074014102,1.17241731024044,5.14261640674741,1.11155686655471,4.11754849814303,1.09696886877879,4.72650808907197,1.02848194955195,3.95769652407896,1.05880651312037,4.62544683044203,0.986417224371556
15,5.02015560387222,1.13001271240434,5.65321308193955,1.07913511706854,4.66352994823255,1.07439367781062,5.40944077999499,0.988895543736869,4.57528249654343,1.06412234545045,5.33657622748075,0.970039699455778
25,5.30177241645259,1.14547924321521,5.97644345049171,1.07412158941169,4.97060035060102,1.07998266776898,5.82487376328728,0.966555500138038,4.93076705951575,1.04439473846739,5.77193132544029,0.92946431778711
35,5.56942084170306,1.13287560473793,6.25315213449981,1.0396515712524,5.3403549956978,1.04099299215962,6.19183555323824,0.928708836123956,5.27241461912821,1.05355470516938,6.1985808285415,0.897682715987846
45,5.94260525341263,1.13049806496732,6.71646661246884,1.06327670065543,5.83577983643378,1.068648120239,6.78551217380361,0.943762549099346,5.8014265176884,1.07419070316685,6.80099978712958,0.902157672282823
55,6.40614665064984,1.11255402575777,7.22728468424571,1.04689092066587,6.38320855901517,1.08833836392648,7.39881790981728,0.919718226039485,6.36945704437051,1.0692088994924,7.47473539818127,0.875488888226229
65,6.73547688165238,1.11996715008536,7.6403539217535,1.04244178463762,6.85456545307138,1.08626581206986,7.99115549961496,0.941008578818393,6.87604913184987,1.07899892256073,8.09665284229435,0.891660032020921
75,7.51751258888803,1.12918451653514,8.49922620985239,1.09304009063592,7.82109911056394,1.13093896271509,9.10879248445059,0.987082110280646,7.88940279883388,1.1224213540039,9.24123566783288,0.946831144728391
85,8.85110732175105,1.18603003827018,10.066027802871,1.27925100919574,9.52920419895173,1.21980811044982,11.1134201174445,1.19903346805918,9.70244924991339,1.2640172359623,11.4052465290522,1.15258182854559
95,12.0049213206594,1.47858011302933,13.6106903210141,1.77352175446096,13.4655230238858,1.62475932918033,15.7968403195139,1.91668403914432,13.8426973930445,1.73048093091489,16.3129725180036,1.81980877994175
