EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0413466745726267,0.958653325427373,0.0413502639116835,0.958649736088316,0.0465129485143934,0.953487051485607,0.0467273201277455,0.953272679872255,0.0488734655709244,0.951126534429076,0.0487406080382625,0.951259391961737
15,0.0763550298921162,0.923644970107884,0.0762096212994001,0.9237903787006,0.0857138552574984,0.914286144742502,0.0855077818055429,0.914492218194457,0.0892377679250236,0.910762232074976,0.0890521467772962,0.910947853222704
25,0.0966521868853373,0.903347813114663,0.0966485716010818,0.903351428398918,0.109014923319848,0.890985076680152,0.107999609053947,0.892000390946053,0.112673565210077,0.887326434789923,0.112684983098775,0.887315016901225
35,0.114802772399861,0.885197227600139,0.115507981007069,0.884492018992931,0.129141242888815,0.870858757111185,0.129259811921337,0.870740188078663,0.134124609474056,0.865875390525944,0.133455280127854,0.866544719872146
45,0.142222546602406,0.857777453397594,0.141523430628431,0.858476569371569,0.158388975270952,0.841611024729048,0.158468784747367,0.841531215252633,0.164532437628888,0.835467562371112,0.16414378989884,0.83585621010116
55,0.168924429282088,0.831075570717912,0.169238441129747,0.830761558870253,0.187896589987595,0.812103410012405,0.189642036874134,0.810357963125866,0.195112183861916,0.804887816138084,0.194994752350489,0.805005247649511
65,0.191637120503091,0.808362879496909,0.190906235703253,0.809093764296747,0.210923327426753,0.789076672573247,0.211446739054396,0.788553260945604,0.218719626867501,0.781280373132499,0.217966650117867,0.782033349882133
75,0.232211169699287,0.767788830300713,0.232410774054776,0.767589225945223,0.256061240671777,0.743938759328223,0.256301901203946,0.743698098796054,0.264263626143793,0.735736373856207,0.264672744197494,0.735327255802505
85,0.298255596826787,0.701744403173213,0.296518009853147,0.703481990146853,0.324560121728503,0.675439878271497,0.323159854273159,0.676840145726841,0.333500970715905,0.666499029284095,0.332603121912359,0.66739687808764
95,0.411859758528897,0.588140241471103,0.412082773986015,0.587917226013985,0.442576073540823,0.557423926459177,0.443416251301481,0.556583748698519,0.452254858767408,0.547745141232592,0.453894574188394,0.546105425811606
