EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.71863281134219,1.21185506272833,5.26514424568409,1.14511731681525,4.61022198671804,1.16713472288642,5.14397336801186,1.10875081589651,4.41303785993617,1.11367825627422,5.01744879142307,1.05601226302197
15,5.13198008811854,1.16493950090709,5.73011689567099,1.11404077133223,5.03258389991271,1.14360932855122,5.67517332631236,1.09376025480348,4.91252773820861,1.11829662973156,5.58248785634015,1.06361100625883
25,5.38992394529536,1.17801020476478,6.02420359426166,1.11067413686026,5.26726984987883,1.14501621282389,5.98743316692087,1.08103271623908,5.20795712294637,1.10191214392067,5.92800200113033,1.03461389502365
35,5.63577981774965,1.16344931388909,6.27353002150074,1.07707248031675,5.55900249181735,1.10508837425232,6.264168977472,1.04972304500196,5.47766204758787,1.10634384746488,6.27043880069833,1.00642980667362
45,5.97485848405704,1.15833289419967,6.69536275384442,1.10347182914575,5.95100842547835,1.12162471372948,6.71598956636069,1.07383378457679,5.90900159032967,1.12086517582895,6.73360831356628,1.02210056403127
55,6.40149445047286,1.13666414722713,7.16146155964484,1.08725193280428,6.38449466682692,1.12808094239721,7.17115693943642,1.05157763431252,6.36814722948773,1.09983822822435,7.26419198361993,0.997132678941295
65,6.69960924077036,1.13876071307447,7.53689558828251,1.0825540158717,6.75291020833349,1.11925182612941,7.64015946748068,1.07604787492437,6.78280105497903,1.10422766797641,7.7693383573238,1.01387488635369
75,7.41754720347098,1.14022105365415,8.31643473353092,1.13633050114461,7.51915728441199,1.13709703029713,8.49211438272574,1.09977450834328,7.60520578370374,1.12299791064454,8.65906420175122,1.05008226989424
85,8.63496433066218,1.18517974017883,9.74433356410569,1.32445352364359,8.85203645376502,1.17424396868285,10.0168621051347,1.27532025673466,9.07895745752668,1.19844674003754,10.3689540501765,1.20158423890017
95,11.5254410711401,1.44565859274476,12.9645831263635,1.8198617180481,11.9404213233392,1.43301658829913,13.6048995712374,1.82943412595936,12.4397747242705,1.50931976251608,14.2349019478536,1.68979406454858
