EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.74091539666341,1.2175285837076,5.28319799901845,1.15012648889753,4.67193496686569,1.17585553408462,5.19427074027203,1.1199726637705,4.47220401354052,1.1214511668285,5.06654570999243,1.0666602418136
15,5.14865285378226,1.17000474317854,5.74144194437602,1.11924374953892,5.07889433381823,1.15245468711826,5.70706832956913,1.10742319760732,4.956530354142,1.12593940514883,5.61319036087947,1.07658779146978
25,5.40310493832456,1.18274043862779,6.0312312641159,1.11610759516877,5.3047758796794,1.15351204012054,6.00693499422226,1.09567250427798,5.24415557717635,1.10996280924931,5.94745397067815,1.04869750082021
35,5.64573278935462,1.16792820490792,6.27651949879816,1.08261973415785,5.58666566212392,1.11366616827237,6.2727596650224,1.06482547957195,5.50465566513027,1.11392742613546,6.27932799618034,1.02067403235719
45,5.97974507353214,1.16246857026564,6.69224020807342,1.10939844659456,5.96598977853531,1.12917572282597,6.70746365494471,1.08973422251157,5.923395059766,1.12787559453882,6.72500208282183,1.0373832429841
55,6.40091485965591,1.14033522758201,7.15174511251009,1.09317121414993,6.38536421423537,1.13443819871336,7.14357922946705,1.06739385872404,6.36852024758771,1.10520532896063,7.23767408069818,1.01235136221376
65,6.69440291179497,1.14171762850725,7.52162250755517,1.08840454970159,6.74100757336784,1.12522525453949,7.5977007320448,1.09202016230711,6.7713038504893,1.10925502034164,7.72815781905866,1.02924660502123
75,7.40284272798417,1.14222329028454,8.28948762487569,1.1425298875896,7.48227767466705,1.14089595778639,8.41747938818231,1.11318648025237,7.56910023783462,1.12598185265075,8.58593763103894,1.06350517592318
85,8.60302734317487,1.18578368384723,9.69688380642429,1.33074189238319,8.76877476204677,1.17396555978313,9.88481352912996,1.28440441471173,8.99919767139808,1.19519793817177,10.2392287983734,1.20949818532332
95,11.4544650231808,1.44243756194237,12.8692969963639,1.82589806173323,11.7524780743397,1.41996328902064,13.3399670973958,1.8190080908543,12.2596104041921,1.49138901648456,13.9744303600723,1.67824636704186
