EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.64751226426162,1.19336757236023,5.20715837384702,1.1291222289983,4.39482383670932,1.13624529495596,4.9649414237092,1.07113378799249,4.21023299293728,1.08781459000538,4.84596306935508,1.02178918704029
15,5.07877540187069,1.14851429317274,5.69373174541666,1.09742361843783,4.87109469302155,1.11286208119362,5.56144168966676,1.04666305289246,4.76202073454169,1.09298083882465,5.47508648608962,1.02022346417007
25,5.34792854075268,1.16269703909631,6.00161557098466,1.09329946225364,5.1369844678027,1.11588400480961,5.91787102050455,1.03023576379694,5.08420433068782,1.07521344832636,5.85989593978271,0.986842015647897
35,5.60412310344214,1.14901130918846,6.26390575863144,1.05930995146794,5.46294692499218,1.07605112076225,6.23337784877119,0.996765026280246,5.38571353288359,1.08155678671819,6.23920007964011,0.957653550969099
45,5.95940264183392,1.14510559448146,6.70536957926473,1.08444171900009,5.8996964272215,1.09685808074699,6.74607870280566,1.01759246094088,5.86040232440736,1.09846239875962,6.76338225525469,0.969121085225303
55,6.40354604058712,1.12507732415921,7.19263870250754,1.06818835993786,6.38272613072888,1.10827862084432,7.26905908765297,0.995111852785089,6.3678332332884,1.08384004968981,7.35655319442302,0.943886122831958
65,6.71647409397098,1.12958765522771,7.58589996470841,1.06365209827244,6.79593883931011,1.10152548622472,7.79098972591534,1.01859041517776,6.8233090125249,1.08997703274095,7.91285162958822,0.960165851902072
75,7.46482566453358,1.13443656690848,8.40296095190551,1.11608565343867,7.64957315107971,1.1288752463206,8.75719533226669,1.05143406489055,7.73042681398427,1.11760919043874,8.9141106122552,1.00361853439563
85,8.73739296057799,1.18447577493516,9.89664806697619,1.30354723917024,9.14542994744668,1.1838343946404,10.4870052752875,1.24176030612498,9.35457243294636,1.21812396291764,10.8221614866668,1.17587222447609
95,11.7528430705204,1.45870680403652,13.270478639484,1.79889977961266,12.601887367886,1.49508580348381,14.5464270765275,1.86391189088209,13.0610890389611,1.58774538134269,15.1442906822624,1.73548311129321
