EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0400443679066675,0.959955632093332,0.0400435282063971,0.959956471793603,0.0429896871911284,0.957010312808872,0.0431959975169144,0.956804002483086,0.0457585226247296,0.95424147737527,0.0456500241387599,0.95434997586124
15,0.0740041185408017,0.925995881459198,0.0738803529975805,0.92611964700242,0.0794346042921221,0.920565395707878,0.0792901491835848,0.920709850816415,0.0837987489458413,0.916201251054159,0.0836029186659242,0.916397081334076
25,0.093762608775477,0.906237391224523,0.0937737621414668,0.906226237858533,0.101272841651194,0.898727158348806,0.100308531775224,0.899691468224776,0.105918520859094,0.894081479140906,0.105993619608664,0.894006380391336
35,0.111447179047523,0.888552820952477,0.112110659380935,0.887889340619065,0.120075607092849,0.879924392907151,0.120292746544224,0.879707253455776,0.126326348803944,0.873673651196055,0.125678072822261,0.874321927177739
45,0.138161952061063,0.861838047938937,0.137463216328284,0.862536783671716,0.147721838148914,0.852278161851086,0.147838533758037,0.852161466241963,0.155261566309265,0.844738433690735,0.154955175161707,0.845044824838293
55,0.16425142779273,0.83574857220727,0.164588472672541,0.835411527327459,0.175665184722519,0.824334815277481,0.177293234411495,0.822706765588505,0.184498783263044,0.815501216736956,0.184342868570786,0.815657131429214
65,0.186511518938662,0.813488481061338,0.185792019740929,0.814207980259071,0.197452681833437,0.802547318166563,0.198062117114497,0.801937882885503,0.207150798536054,0.792849201463947,0.206440829964534,0.793559170035466
75,0.226308465395721,0.773691534604279,0.2264643210506,0.7735356789494,0.240732706658261,0.759267293341739,0.240938815984282,0.759061184015718,0.251027715559301,0.748972284440699,0.251431527709588,0.748568472290412
85,0.291299893260977,0.708700106739024,0.289573138859203,0.710426861140797,0.306662329635249,0.693337670364751,0.305255088311062,0.694744911688938,0.318275165903141,0.681724834096859,0.317231709815988,0.682768290184012
95,0.403795428762032,0.596204571237968,0.403960942353977,0.596039057646023,0.422127895656356,0.577872104343645,0.423247102288622,0.576752897711378,0.435194895095323,0.564805104904677,0.436762043758618,0.563237956241382
