EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0404692580587055,0.959530741941295,0.0404698324183115,0.959530167581689,0.0441032647495269,0.955896735250473,0.0443122674825397,0.95568773251746,0.0467517614427472,0.953248238557253,0.0466357294914344,0.953364270508566
15,0.0747715038168658,0.925228496183134,0.0746407925551987,0.925359207444801,0.0814229053889572,0.918577094611043,0.0812597287535413,0.918740271246459,0.0855365593693942,0.914463440630606,0.0853436860323323,0.914656313967668
25,0.0947064107391788,0.905293589260821,0.0947128391898541,0.905287160810146,0.103728388189424,0.896271611810576,0.102747550957914,0.897252449042086,0.108078371429869,0.891921628570131,0.108133993104166,0.891866006895834
35,0.112543699869671,0.887456300130329,0.113220675170693,0.886779324829307,0.12295267445944,0.87704732554056,0.123140258946084,0.876859741053916,0.128823020868789,0.871176979131211,0.128167763923206,0.871832236076794
45,0.139489472921506,0.860510527078494,0.138790485629142,0.861209514370858,0.151114238192615,0.848885761807385,0.151219862334837,0.848780137665163,0.158233549415286,0.841766450584714,0.157901568856126,0.842098431143874
55,0.165780100823916,0.834219899176084,0.166109808218397,0.833890191781603,0.179561457229843,0.820438542770157,0.181226846324185,0.818773153675815,0.187905918495743,0.812094081504257,0.187761792704293,0.812238207295707
65,0.188189313998596,0.811810686001404,0.187466038406832,0.812533961593168,0.201747559836467,0.798252440163533,0.202331321834748,0.797668678165252,0.210868653036821,0.789131346963179,0.2101449017299,0.7898550982701
75,0.228242405424677,0.771757594575323,0.228412371057591,0.771587628942409,0.245634153232563,0.754365846767437,0.245851031262283,0.754148968737717,0.255289865804522,0.744710134195478,0.255695561129652,0.744304438870348
85,0.293582130705563,0.706417869294437,0.291851665059812,0.708148334940188,0.312404826698035,0.687595173301965,0.310998747068103,0.689001252931897,0.323193574660144,0.676806425339856,0.322195177812667,0.677804822187333
95,0.406448218862046,0.593551781137954,0.406632412097169,0.593367587902831,0.428730724444515,0.571269275555485,0.42976314440045,0.57023685559955,0.440736720532519,0.559263279467481,0.442327349898715,0.557672650101285
