EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.69566264538209,1.20594499968359,5.2464765293512,1.13995075274171,4.54387517131883,1.15767765241845,5.08940389700879,1.09687774675208,4.34995571974065,1.10548320734701,4.9646393000524,1.04495459714236
15,5.11479457149439,1.15967626135269,5.71840503121874,1.10867458300981,4.98281779097157,1.13410918634991,5.64054167181675,1.07913563728591,4.86565978820101,1.11026608834744,5.54944086334967,1.04991176966274
25,5.37634811685729,1.17309940291989,6.01693443435438,1.10506729523776,5.22703785623208,1.13595359399019,5.96625456272912,1.06532234359119,5.16941078833809,1.093452885072,5.90705592788491,1.0196556457418
35,5.62553727622755,1.15880928524856,6.27043539809003,1.07134469360392,5.52933438496232,1.09599324151828,6.25481922336615,1.03344238232012,5.44896666381168,1.09843091471429,6.26085052580327,0.99123987882049
45,5.96984347278989,1.15406491939064,6.69858804922924,1.09734432110544,5.93504304942403,1.11373359530113,6.72520375102531,1.05662997929648,5.89376350676464,1.11362600680221,6.74282488586887,1.00571575773411
55,6.40212389327376,1.13289979955043,7.17150371374567,1.0811229863488,6.38374242773999,1.12158542108414,7.20104071536517,1.03439291375084,6.36789083633161,1.09446271622545,7.29267782785384,0.980747128433237
65,6.70501547380168,1.1357534427294,7.55268024637337,1.07648666722932,6.76592060027986,1.11326831362294,7.68618232927836,1.05863180719906,6.79522013163311,1.09929519661007,7.81358713089346,0.997331098590773
75,7.43276016259447,1.13825057446836,8.34429458528113,1.1298665435215,7.55905108908492,1.13371227691544,8.57300822246146,1.0851257463875,7.6439151703012,1.12050062053027,8.73766760486799,1.03567904464346
85,8.66796511600616,1.1847444130436,9.79338347914652,1.31783557146663,8.94195076149093,1.17570848704858,10.1601432488078,1.26524099645279,9.16432093761716,1.20309899129978,10.5085023803301,1.19327641928001
95,11.598744047109,1.44939676302663,13.0630866103532,1.81335772110207,12.1432639257649,1.44920568643225,13.8921249397561,1.8402200190811,12.6324130912878,1.53074672207895,14.5150119459045,1.7027854273252
