EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0392208028750355,0.960779197124965,0.0392173076644154,0.960782692335585,0.0409231248315927,0.959076875168407,0.041124084564963,0.958875915435037,0.0438934925462915,0.956106507453709,0.0437985482872233,0.956201451712777
15,0.0725156519263345,0.927484348073666,0.0724050297354212,0.927594970264579,0.0757357560127483,0.924264243987252,0.0756241797844046,0.924375820215595,0.0805266947383257,0.919473305261674,0.0803260738397257,0.919673926160274
25,0.0919303351177446,0.908069664882255,0.0919503874194226,0.908049612580577,0.0966947605919758,0.903305239408024,0.0957621328244619,0.904237867175538,0.101847842910629,0.898152157089371,0.101957388525257,0.898042611474743
35,0.109317013055658,0.890682986944342,0.109954667692798,0.890045332307202,0.114707350155123,0.885292649844877,0.114975335386833,0.885024664613167,0.121612493871236,0.878387506128764,0.120978015951415,0.879021984048585
45,0.135581298506588,0.864418701493412,0.134883405436782,0.865116594563218,0.141374344514363,0.858625655485637,0.141510103744805,0.858489896255195,0.149640397657489,0.850359602342511,0.14938039271522,0.85061960728478
55,0.161277126384706,0.838722873615294,0.161627897752962,0.838372102247038,0.168358808327792,0.831641191672208,0.169916982175043,0.830083017824958,0.178042212856048,0.821957787143952,0.177865423092976,0.822134576907025
65,0.183244106458688,0.816755893541312,0.182532099760515,0.817467900239485,0.189389108554023,0.810610891445977,0.190042305829354,0.809957694170646,0.200094993315455,0.799905006684545,0.199411080980104,0.800588919019896
75,0.222537266724275,0.777462733275725,0.222666234651333,0.777333765348667,0.231494121127391,0.768505878872609,0.231680646862187,0.768319353137813,0.242916567818795,0.757083432181205,0.243316337972401,0.756683662027599
85,0.286840238101205,0.713159761898795,0.2851211781373,0.7148788218627,0.295788214958105,0.704211785041895,0.294381557615214,0.705618442384786,0.308874177885829,0.691125822114171,0.307749839300598,0.692250160699402
95,0.398592394724262,0.601407605275738,0.398721942346904,0.601278057653096,0.409514142477764,0.590485857522236,0.410790346822709,0.589209653177291,0.424519085448816,0.575480914551184,0.426041250712174,0.573958749287826
