EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0396283069709942,0.960371693029006,0.0396261116448121,0.960373888355188,0.0419309588842598,0.95806904111574,0.0421345855197007,0.957865414480299,0.0448066084833997,0.9551933915166,0.044705124572197,0.955294875427803
15,0.0732523247082707,0.926747675291729,0.0731352518715655,0.926864748128434,0.0775410948046699,0.92245890519533,0.0774137878263116,0.922586212173688,0.0821301452109273,0.917869854789073,0.0819317451456204,0.91806825485438
25,0.0928374322203659,0.907162567779634,0.0928531241529015,0.907146875847099,0.0989308661313457,0.901069133868654,0.097982622366254,0.902017377633746,0.103843304354496,0.896156695645503,0.103936333395212,0.896063666604788
35,0.110371819006411,0.88962818099359,0.111022197472171,0.888977802527829,0.117330106659668,0.882669893340332,0.117573950235871,0.882426049764129,0.123924611036617,0.876075388963383,0.123283264355867,0.876716735644133
45,0.136859461015383,0.863140538984617,0.136161092217596,0.863838907782404,0.144478407472327,0.855521592527673,0.144605113264956,0.855394886735044,0.152399166087211,0.847600833912789,0.152116724840208,0.847883275159792
55,0.162750689234823,0.837249310765177,0.163094750871852,0.836905249128148,0.171934410169116,0.828065589830884,0.173526756484398,0.826473243515602,0.181213004835515,0.818786995164485,0.181046227086115,0.818953772913885
65,0.184863376157915,0.815136623842085,0.184147633491734,0.815852366508266,0.193336854100383,0.806663145899617,0.193969350559698,0.806030649440302,0.203561772657808,0.796438227342192,0.202865074434863,0.797134925565137
75,0.224407023267696,0.775592976732304,0.224549218533566,0.775450781466434,0.236023042637331,0.763976957362669,0.236219052026562,0.763780947973438,0.246905544382548,0.753094455617452,0.247307377420508,0.752692622579492
85,0.289052865245534,0.710947134754466,0.287329914588156,0.712670085411844,0.301127134473521,0.69887286552648,0.299719735201202,0.700280264798798,0.313504211344237,0.686495788655763,0.312418847740135,0.687581152259865
95,0.401177042367512,0.598822957632488,0.40132434523675,0.59867565476325,0.415725360861994,0.584274639138006,0.416925700701099,0.583074299298901,0.429790704906129,0.570209295093871,0.431335041437596,0.568664958562404
