EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.555058147440309,0.621996926843977,0.507758539952788,0.581739913527469,0.494211919701854,0.571194098134592
15,0.550925554444742,0.623781976354782,0.517431728561913,0.600634000349447,0.506005732609292,0.592845578499321
25,0.54838591584934,0.624805868465634,0.51999270994533,0.610847823000036,0.513305827525647,0.607132463173707
35,0.544887588367653,0.625909410241054,0.525967565979813,0.620474967439916,0.518248400462708,0.620632775245865
45,0.54013378792454,0.62698004333158,0.529652114522076,0.635402663046681,0.526879839814997,0.638673312175124
55,0.53551767617844,0.628740370829392,0.536547944460375,0.652805161524589,0.538178166767925,0.659517406803413
65,0.530292804345377,0.630463486539051,0.541673348662395,0.667116219813709,0.543328134169827,0.678605445559111
75,0.521692031672215,0.634566416570776,0.55053027131866,0.696514178980492,0.563487769588172,0.714971948596431
85,0.504756342179685,0.641457129146053,0.570522478029241,0.743743496460999,0.591613244699068,0.775038375597287
95,0.467236749251008,0.648914208656539,0.619950425689197,0.87428974926398,0.66773785662412,0.930681088945334
