EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.542872579226843,0.616509415604024,0.507923393465368,0.585046057542844,0.487644015603712,0.570701053906678
15,0.541167934994905,0.619299482056543,0.513551147117917,0.600122608885619,0.499947249923399,0.591907166481387
25,0.537034523236882,0.622892679938344,0.511013938346637,0.611462396140575,0.502785561893115,0.60440015142315
35,0.534696953460281,0.623660315012353,0.520495676085062,0.619041317022289,0.509107124497242,0.615593465321662
45,0.530698538672358,0.627956173304107,0.521742128583234,0.633466975418429,0.51759001521454,0.637433790406876
55,0.528011846220965,0.631328669460127,0.525376104237785,0.648972085201348,0.525444139104717,0.65661720191563
65,0.522824842367581,0.635088636577417,0.531611289599114,0.661009251646749,0.53578686115664,0.673672624870892
75,0.517027666425001,0.640393792901312,0.540612764295918,0.687760182126746,0.552912082978566,0.709803244585664
85,0.504614287880534,0.652088205065449,0.557236377579689,0.730173951379083,0.581578193365087,0.771676976185974
95,0.4769303339689,0.678082408296384,0.587789764102964,0.844482537355632,0.646438825992451,0.923692755103076
