EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.546074485062173,0.619129680982731,0.518030690478594,0.593568201080223,0.497147783961262,0.578804543851139
15,0.543570774047375,0.620941239791653,0.521172846770984,0.605513226789524,0.506991736507569,0.596975010598654
25,0.538922497764378,0.623913122333332,0.51715129219499,0.614770990021239,0.508553204917037,0.607612179589706
35,0.536117043872724,0.624096571648681,0.525036725256989,0.62051282947536,0.513401738970866,0.617061606563814
45,0.531393744289235,0.627503692762979,0.524139643955619,0.632038590831601,0.519848698392196,0.636030731111123
55,0.527915113313277,0.629922372260236,0.525430186749306,0.644270768366769,0.525436625941144,0.652250426854361
65,0.52205688773592,0.632874483199623,0.529548359712121,0.65384735617866,0.533867032497035,0.666956276914938
75,0.514891364371294,0.63648315783672,0.53443824711107,0.675140234630813,0.547022553414396,0.697746618583048
85,0.4999653166275,0.645226245213393,0.543302016418761,0.707833878929024,0.568685758089624,0.750409783817861
95,0.466655769733266,0.664204094072647,0.556482498433693,0.799606972104598,0.617399763353803,0.880701563620714
