EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.532610673523383,0.60805439222406,0.471754728116516,0.553796926016462,0.454443702653065,0.541736786069403
15,0.533468451224389,0.614000107958029,0.486306290852367,0.580304556212327,0.475401060117973,0.573754698473205
25,0.530994955160805,0.619597179544111,0.489174841627539,0.599296602201103,0.48269779379804,0.592882775071105
35,0.530162193796134,0.622248858784141,0.504344036174408,0.613594110402734,0.494215330928929,0.610303481199857
45,0.528491516621051,0.629412469016552,0.513361931425252,0.638643319977233,0.509842646372264,0.642384929454525
55,0.528352030564603,0.635861380536737,0.525439220947122,0.666150724324207,0.525657402824174,0.672169944826134
65,0.525323223086053,0.642224977570844,0.539295180361563,0.687203605040676,0.542706837413059,0.697608778911306
75,0.523926092334078,0.653008550287391,0.563045993848856,0.733897573704401,0.573769010846114,0.752817359072167
85,0.519587948373593,0.674216177240135,0.607670716078746,0.812117360972185,0.62704927294131,0.847721688195037
95,0.509989811480763,0.722840161913402,0.700959088507883,1.00870082346271,0.748618553296183,1.07729223910842
