EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.604403577002105,0.648410835764122,0.602920866586867,0.647541249502007,0.601964832555306,0.648206706258939
15,0.590242552946354,0.638126205644181,0.59035254247614,0.638737788467674,0.58899558288025,0.639095881700068
25,0.581125185477399,0.63259722955793,0.580567523757079,0.632834401908869,0.581386101426223,0.633009867298025
35,0.573199639375466,0.626588329874128,0.572623098046612,0.627395434057582,0.572617935614918,0.627545733253991
45,0.561543139561978,0.618306794377475,0.560326774992788,0.617823943728285,0.561430613513421,0.618977103698012
55,0.547679140932306,0.608907722934238,0.548861933468577,0.608982610083286,0.548250088029352,0.609496740859894
65,0.537637567452053,0.601272702064405,0.537833396383975,0.601934387464576,0.537154529219022,0.600873212518334
75,0.515491049782034,0.585921501522165,0.514861981558163,0.583344524898542,0.513468506925262,0.584422201640755
85,0.473191914953304,0.557348108607793,0.475190739488361,0.555630043591073,0.47341755706403,0.556567809377603
95,0.377440435885603,0.487388448206092,0.378821285240646,0.490354502494152,0.379121524373427,0.489240495938176
