EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.5998925485038,0.647323099052094,0.584860029647548,0.634237618679476,0.582102845319286,0.63194076072936
15,0.587128997894169,0.637810602662478,0.576490976050891,0.631333623735724,0.573976924442918,0.62956078533346
25,0.579051341980658,0.631816495863046,0.570462630428056,0.630078844333352,0.570821925474298,0.628055792767136
35,0.570735218644958,0.627255678342356,0.566388148309719,0.626643651585929,0.564727407048218,0.627044560942088
45,0.559976802963947,0.620449254654747,0.559647784680724,0.624030112044416,0.557546414668713,0.625176812766245
55,0.547139763025513,0.610824553647885,0.551447292786223,0.621605748367601,0.55085785464203,0.623962958955106
65,0.537424172179325,0.604216765163607,0.543404286065956,0.618386402638948,0.543755241743449,0.621474052842082
75,0.515198490639376,0.590990358294495,0.529095587540888,0.611242091262038,0.533135015377254,0.616648248972164
85,0.47517800109279,0.563422568299477,0.502768882850483,0.604354269921079,0.509250901416445,0.614746901989063
95,0.386240305714265,0.505703986230811,0.44364365819855,0.577153623332334,0.457411601278713,0.607000964140714
