EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.552183859607107,0.624105587895044,0.536020604146671,0.608510028230711,0.514306244163084,0.593225283454255
15,0.548156164778492,0.624058240275143,0.534748148731364,0.614951069916078,0.519730950994245,0.605982657763323
25,0.542529657598009,0.625849873776469,0.528114819777503,0.62056243591176,0.518987084332992,0.613317409189353
35,0.538833732561901,0.624923538052561,0.53315111707293,0.623078783848106,0.521192662253108,0.61966179090409
45,0.53272929391552,0.626642948707339,0.528469719286413,0.62951724099804,0.52397426766501,0.633515007915081
55,0.527743478868843,0.627249784299394,0.525607484076039,0.636010918896717,0.525485377890499,0.644462494008322
65,0.52060754537081,0.628666478127924,0.525971746755511,0.641271106513786,0.530471854137292,0.654983108402592
75,0.510837383641719,0.629055255243909,0.523556167830288,0.652975646777749,0.536483651989247,0.676266848293987
85,0.491126708006659,0.632189655433677,0.518679578326658,0.668672959118783,0.545552480042273,0.712570625511498
95,0.447107089478264,0.637839239845434,0.50111239632858,0.720830589402707,0.565214352234831,0.804172081388778
