EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.536146843534094,0.610977761435169,0.484933152451552,0.565319640378522,0.466393661857665,0.552280212723005
15,0.536121393577419,0.615832703614762,0.496228174155516,0.587622039066964,0.484224980843272,0.580369658035442
25,0.533074239545248,0.620737099722456,0.497110601397462,0.603788784379023,0.489917523811826,0.597081992385909
35,0.53172204764919,0.622737530505163,0.510211901463481,0.615612275408969,0.499555971107689,0.612236904738842
45,0.529248494054203,0.6289096048098,0.51638007309746,0.636745938717557,0.512605999940608,0.640594327833733
55,0.528229721899524,0.634295062300188,0.525370854820011,0.659827325348262,0.525547716842343,0.666518504410276
65,0.524456046420214,0.639758978855349,0.536442094767701,0.677556896699066,0.540178509004451,0.688908428012411
75,0.521540233046183,0.648647633367983,0.554812860477557,0.716910428003845,0.566212173623799,0.737174067021096
85,0.514415690599538,0.666567746804886,0.589193282843981,0.781897121355783,0.610606139373942,0.820034450212758
95,0.498320328218011,0.708149553322031,0.659521914227141,0.948207348116008,0.711710464873197,1.02138990535399
