EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.539565341234734,0.613794022490935,0.496935057911353,0.57567702165606,0.477423510434621,0.561893611609056
15,0.538686287489831,0.617597846282449,0.505269242035593,0.59418954576039,0.492380530828363,0.586393867390957
25,0.535086220881791,0.621834769108949,0.504359116096473,0.607820463397458,0.496591789557525,0.600904063787826
35,0.533232761697352,0.623207643236021,0.515572795192665,0.617416729415752,0.504504656209272,0.613991969803578
45,0.52998379785638,0.628424504523363,0.519163683206377,0.635029108903346,0.515181589673713,0.638949963943225
55,0.528116529519517,0.632785238250342,0.525353486374316,0.65413246697412,0.525479148398687,0.661355612447323
65,0.523623933589539,0.637381900804513,0.533896558451182,0.668873750535797,0.537882164890541,0.680962757111553
75,0.51924242050775,0.644445788654554,0.547373356596244,0.701615822417921,0.559286487801971,0.722896180057647
85,0.509427905552681,0.659197110567973,0.572465648338065,0.754737743991371,0.59550508158632,0.794795458711983
95,0.487563446730183,0.692460787222096,0.621985333699201,0.893772349634931,0.677773400235026,0.970408975735357
