4.9182,1.1685,5.3666,1.1259,4.6599,1.1606,5.1628,1.1339,4.6177,1.154,5.1247,1.1038
5.3509,1.1569,5.804,1.1437,5.1459,1.1351,5.7539,1.0643,5.1159,1.1379,5.6959,1.0884
5.5992,1.1428,6.1102,1.1253,5.482,1.1184,6.0553,1.046,5.4297,1.1263,6.0496,1.065
5.8669,1.1225,6.3891,1.1476,5.7824,1.0941,6.386,1.0708,5.7704,1.1108,6.3959,1.025
6.2312,1.1107,6.8456,1.1187,6.1768,1.1095,6.8904,1.0605,6.2026,1.0907,6.8811,1.0169
6.6924,1.1255,7.2748,1.1141,6.6654,1.0813,7.3847,1.0629,6.6892,1.0639,7.4559,1.0516
6.9895,1.1222,7.6235,1.1208,7.0873,1.0763,7.8924,1.0776,7.0697,1.0893,7.9055,1.0677
7.726,1.1229,8.4479,1.1678,7.8901,1.0985,8.7835,1.1404,7.9408,1.0989,8.8877,1.1688
8.9983,1.2119,9.8387,1.3511,9.3754,1.1624,10.456,1.4181,9.4644,1.1744,10.639,1.3901
11.977,1.4609,13.18,1.8427,12.796,1.5036,14.273,2.119,13.065,1.5202,14.7,2.2646
