4.5961,1.1797,5.1649,1.1176,4.2186,1.111,4.8144,1.043,4.0486,1.0687,4.7057,0.99797
5.0404,1.1364,5.6672,1.0854,4.7391,1.0882,5.4656,1.0094,4.6424,1.0741,5.3871,0.98745
5.3177,1.1514,5.9852,1.0807,5.0311,1.0928,5.8592,0.98942,4.9859,1.0551,5.804,0.94974
5.5814,1.1385,6.2569,1.0464,5.3849,1.0534,6.2072,0.95341,5.313,1.0632,6.2134,0.9191
5.9484,1.1355,6.7126,1.0706,5.8588,1.0784,6.7711,0.97082,5.8225,1.0824,6.7874,0.92635
6.4052,1.1168,7.2153,1.0543,6.3827,1.0949,7.3511,0.94751,6.3686,1.0738,7.4318,0.90034
6.7289,1.1232,7.6215,1.0498,6.8328,1.0908,7.9174,0.9697,6.8568,1.0821,8.0298,0.91645
7.4993,1.1309,8.4659,1.1011,7.7581,1.1284,8.9793,1.0106,7.8318,1.1191,9.1223,0.96688
8.8118,1.1852,10.007,1.2878,9.3886,1.2032,10.882,1.2139,9.5767,1.2445,11.193,1.1592
11.913,1.4713,13.483,1.8086,13.149,1.5699,15.336,1.8948,13.56,1.6726,15.888,1.7844
