5.1854,1.1545,5.4858,1.1691,5.142,1.145,5.4901,1.1693,5.1646,1.1486,5.4922,1.1847
5.6024,1.127,5.9729,1.157,5.5819,1.128,5.9759,1.1642,5.5804,1.1241,5.9444,1.1629
5.8355,1.141,6.2256,1.1522,5.8452,1.1186,6.2468,1.1805,5.8498,1.1332,6.2145,1.1476
6.081,1.0943,6.4944,1.1384,6.0871,1.1073,6.4943,1.1371,6.0812,1.1153,6.5144,1.1663
6.4504,1.1046,6.8888,1.1626,6.4385,1.115,6.8937,1.1779,6.4453,1.1112,6.9023,1.1543
6.8406,1.1112,7.3313,1.1671,6.8651,1.127,7.3442,1.1815,6.8731,1.0976,7.3293,1.1749
7.2153,1.1257,7.6898,1.1728,7.2013,1.1139,7.6734,1.1576,7.1961,1.1111,7.6894,1.1735
7.9146,1.1404,8.4608,1.2183,7.9216,1.1396,8.3965,1.2094,7.8808,1.1138,8.4344,1.2129
9.1459,1.1999,9.8352,1.3715,9.2114,1.2003,9.7951,1.325,9.1799,1.1907,9.8213,1.3457
12.07,1.5464,12.926,1.7979,12.095,1.5608,12.949,1.8073,12.108,1.5203,12.942,1.7739
