4.7582,1.1786,5.2583,1.1299,4.3947,1.1571,4.9455,1.0715,4.2814,1.12,4.8615,1.0556
5.1855,1.1444,5.7445,1.118,4.94,1.1215,5.5408,1.041,4.8391,1.089,5.4969,1.0325
5.4702,1.1383,6.0505,1.0802,5.2441,1.1194,5.9527,1.0086,5.1743,1.0631,5.9264,0.99185
5.7141,1.1139,6.3731,1.0925,5.5646,1.0813,6.3124,1.0164,5.5251,1.0882,6.2426,0.97977
6.0967,1.1255,6.7785,1.0754,6.01,1.1167,6.844,1.0025,6.0117,1.0762,6.8519,0.9554
6.5098,1.1211,7.262,1.0717,6.5198,1.0772,7.4124,1.002,6.5637,1.0759,7.4728,0.96798
6.8994,1.1365,7.5932,1.1163,6.9822,1.0788,7.9107,0.99973,6.9771,1.0866,7.9899,0.98516
7.6041,1.1227,8.4793,1.1478,7.857,1.1143,8.9504,1.0818,7.9493,1.0974,9.0886,1.0695
8.923,1.1986,9.9764,1.2909,9.4253,1.1901,10.79,1.3012,9.6025,1.2092,10.984,1.2606
11.951,1.4759,13.351,1.8521,13.117,1.5338,15.073,2.005,13.477,1.546,15.447,1.9775
