5.1329,1.1417,5.4962,1.1878,5.0065,1.1777,5.3596,1.1769,5.0058,1.1393,5.367,1.1601
5.5544,1.1368,5.9299,1.1362,5.4758,1.1476,5.8875,1.0974,5.4322,1.1269,5.8582,1.1364
5.7949,1.1393,6.1842,1.1369,5.7464,1.1283,6.1739,1.1258,5.7321,1.1118,6.1517,1.1226
6.0284,1.1205,6.482,1.1664,6.0195,1.0962,6.4709,1.1232,5.9816,1.1189,6.4482,1.116
6.4004,1.1015,6.8601,1.1342,6.4127,1.0869,6.8992,1.1122,6.4013,1.0958,6.892,1.1099
6.7913,1.1173,7.2686,1.1403,6.834,1.0986,7.3975,1.131,6.8292,1.0899,7.4343,1.1313
7.1656,1.1252,7.6358,1.1703,7.189,1.1093,7.7594,1.1649,7.1827,1.1003,7.7913,1.1531
7.8341,1.1511,8.4012,1.1999,7.953,1.0979,8.5871,1.2272,7.9632,1.1014,8.5928,1.2247
9.0708,1.2224,9.7442,1.3484,9.2712,1.1812,10.059,1.3988,9.3314,1.1594,10.136,1.4033
11.985,1.5272,12.881,1.8127,12.43,1.5458,13.428,2.043,12.507,1.5752,13.644,2.1243
